Timestamp (s), Slip Angle (deg)
34.700000, -14.353623
34.733333, -13.429480
34.766667, -13.916301
34.800000, -14.391801
34.833333, -14.575340
34.866667, -14.983571
34.900000, -14.241387
34.933333, -15.632848
34.966667, -15.821761
35.000000, -15.487249
35.033333, -14.883254
35.066667, -14.746798
35.100000, -15.273362
35.133333, -15.445380
35.166667, -14.975820
35.200000, -14.286341
35.233333, -14.235055
35.266667, -14.712043
35.300000, -14.565679
35.333333, -14.869635
35.366667, -15.242918
35.400000, -16.948821
35.433333, -15.989362
35.466667, -15.394839
35.500000, -15.533529
35.533333, -15.707082
35.566667, -14.830251
35.600000, -14.667918
35.633333, -13.934816
35.666667, -13.555304
35.700000, -13.957609
35.733333, -13.896214
35.766667, -14.748861
35.800000, -15.150743
35.833333, -12.698270
35.866667, -13.152184
35.900000, -13.838497
35.933333, -13.208952
35.966667, -14.725834
36.000000, -15.704339
36.033333, -16.554353
36.066667, -16.856527
36.100000, -15.852672
36.133333, -16.342248
36.166667, -14.311992
36.200000, -14.184082
36.233333, -12.950761
36.266667, -13.840690
36.300000, -11.214114
36.333333, -13.379789
36.366667, -12.856550
36.400000, -13.202981
36.433333, -14.234102
36.466667, -15.355774
36.500000, -17.412210
36.533333, -15.488245
36.566667, -14.198538
36.600000, -14.924258
36.633333, -14.080605
36.666667, -16.314905
36.700000, -13.396026
36.733333, -13.944934
36.766667, -13.171294
36.800000, -12.521640
36.833333, -12.193847
36.866667, -12.740677
36.900000, -12.646125
36.933333, -12.908280
36.966667, -12.428811
37.000000, -14.242255
37.033333, -13.890992
37.066667, -13.753309
37.100000, -13.848221
37.133333, -11.997005
37.166667, -11.953745
37.200000, -12.682218
37.233333, -11.514200
37.266667, -12.771471
37.300000, -12.563468
37.333333, -12.018799
37.366667, -11.360475
37.400000, -14.036734
37.433333, -13.181902
37.466667, -14.024566
37.500000, -13.644537
37.533333, -12.172934
37.566667, -11.889514
37.600000, -11.769940
37.633333, -11.360018
37.666667, -11.889622
37.700000, -11.534278
37.733333, -13.171009
37.766667, -13.054442
37.800000, -10.979030
37.833333, -13.229932
37.866667, -12.197453
37.900000, -12.724381
37.933333, -12.922215
37.966667, -11.184777
38.000000, -10.367523
38.033333, -12.649958
38.066667, -7.200814
38.100000, -10.679641
38.133333, -9.617744
